,,,,,Scoring,Scoring,Scoring,,,Goals,Goals,Goals,Goals,Assists,Assists,Assists,,,Ice Time,Ice Time,-additional
Rk,Player,Age,Pos,GP,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,TOI,ATOI,-9999
1,Eric Staal,21,C,25,9,19,28,0,8,2,7,0,1,,,,87,10.3,495,19:48,staaler01
2,Cory Stillman,32,LW,25,9,17,26,12,14,5,4,0,3,,,,75,12.0,467,18:42,stillco01
3,Rod Brind'Amour,35,C,25,12,6,18,9,16,6,6,0,4,,,,75,16.0,596,23:52,brindro01
4,Justin Williams,24,RW,25,7,11,18,12,34,6,0,1,1,,,,71,9.9,540,21:36,williju01
5,Matt Cullen,29,C,25,4,14,18,2,12,2,2,0,1,,,,56,7.1,391,15:37,cullema01
6,Mark Recchi*,37,RW,25,7,9,16,-5,18,5,2,0,2,,,,45,15.6,414,16:34,recchma01
7,Doug Weight,35,C,23,3,13,16,-3,20,1,2,0,0,,,,35,8.6,355,15:27,weighdo01
8,Ray Whitney,33,RW,24,9,6,15,-1,14,4,5,0,1,,,,40,22.5,339,14:07,whitnra01
9,František Kaberle,32,D,25,4,9,13,-7,8,1,3,0,1,,,,35,11.4,460,18:25,kaberfr01
10,Bret Hedican,35,D,25,2,9,11,6,42,2,0,0,0,,,,23,8.7,567,22:40,hedicbr01
11,Andrew Ladd,20,LW,17,2,3,5,0,4,2,0,0,1,,,,13,15.4,161,9:27,laddan01
12,Aaron Ward,33,D,25,2,3,5,0,18,2,0,0,0,,,,18,11.1,542,21:42,wardaa01
13,Niclas Wallin,30,D,25,1,4,5,3,14,1,0,0,1,,,,19,5.3,416,16:39,wallini01
14,Mike Commodore,26,D,25,2,2,4,1,33,1,0,1,0,,,,27,7.4,486,19:27,commomi01
15,Glen Wesley,37,D,25,0,2,2,1,16,0,0,0,0,,,,15,0.0,404,16:10,weslegl01
16,Chad Larose,23,RW,21,0,1,1,-2,10,0,0,0,0,,,,15,0.0,188,8:58,larosch01
17,Cam Ward,21,G,23,0,1,1,0,0,0,0,0,,,,,0,,1320,57:23,wardca01
18,Craig Adams,28,RW,25,0,0,0,-4,10,0,0,0,0,,,,18,0.0,207,8:16,adamscr01
19,Kevyn Adams,31,C,25,0,0,0,-4,14,0,0,0,0,,,,36,0.0,293,11:44,adamske01
20,Erik Cole,27,RW,2,0,0,0,-1,0,0,0,0,0,,,,3,0.0,31,15:29,coleer01
21,Martin Gerber,31,G,6,0,0,0,0,4,0,0,0,,,,,0,,221,36:55,gerbema01
22,Oleg Tverdovsky,29,D,5,0,0,0,-1,0,0,0,0,0,,,,2,0.0,26,5:16,tverdol01
23,Josef Vašíček,25,C,8,0,0,0,-2,2,0,0,0,0,,,,13,0.0,81,10:04,vasicjo01
,Team Total,,,25,73,129,202,16,311,40,31,2,16,,,,721,10.1,,,-9999
* - Hall of Famer
